specimen,tree,type,Cre,Layer,image_series_id.x,target,color,id,Injection Target 1,AP.x,ML,DV,image_series_id.y,FRP,ACAd,ACAv,PL,ILA,ORBl,ORBm,ORBvl,AId,AIv,AIp,GU,VISC,TEa,PERI,ECT,SSs,SSp-bfd,SSp-tr,SSp-ll,SSp-ul,SSp-un,SSp-n,SSp-m,MOp,MOs,VISal,VISl,VISp,VISpl,VISli,VISpor,VISrl,VISa,VISam,VISpm,RSPagl,RSPd,RSPv,AUDd,AUDp,AUDpo,AUDv,MOB,AOB,AON,TT,DP,PIR,NLOT,COAa,COAp,PAA,TR,CA1,CA2,CA3,DG,FC,IG,ENTl,ENTm,PAR,POST,PRE,SUB,ProS,HATA,APr,CLA,EPd,EPv,LA,BLA,BMA,PA,CP,ACB,FS,OT,LSc,LSr,LSv,SF,SH,AAA,BA,CEA,IA,MEA,GPe,GPi,SI,MA,MS,NDB,TRS,BST,BAC,VAL,VM,VPL,VPLpc,VPM,VPMpc,PoT,SPFm,SPFp,SPA,PP,MG,LGd,LP,PO,POL,SGN,AV,AM,AD,IAM,IAD,LD,IMD,MD,SMT,PR,PVT,PT,RE,Xi,RH,CM,PCN,CL,PF,PIL,RT,IGL,IntG,LGv,SubG,MH,LH,SO,ASO,PVH,PVa,PVi,ARH,ADP,AVP,AVPV,DMH,MEPO,MPO,OV,PD,PS,PVp,PVpo,SBPV,SCH,SFO,VMPO,VLPO,AHN,LM,MM,SUM,TMd,TMv,MPN,PMd,PMv,PVHd,VMH,PH,LHA,LPO,PST,PSTN,PeF,RCH,STN,TU,ZI,ME,SCs,IC,NB,SAG,PBG,MEV,SCO,SNr,VTA,PN,RR,MRN,SCm,PAG,APN,MPT,NOT,NPC,OP,PPT,CUN,RN,III,MA3,EW,IV,Pa4,VTN,AT,LT,DT,MT,SNc,PPN,IF,IPN,RL,CLI,DR,NLL,PSV,PB,SOC,B,DTN,PDTg,PCG,PG,PRNc,SG,SUT,TRN,V,P5,Acs5,PC5,I5,CS,LC,LDT,NI,PRNr,RPO,SLC,SLD,AP.y,DCO,VCO,CU,GR,ECU,NTB,NTS,SPVC,SPVI,SPVO,Pa5,VI,VII,ACVII,AMB,DMX,GRN,ICB,IO,IRN,ISN,LIN,LRN,MARN,MDRNd,MDRNv,PARN,PAS,PGRNd,PGRNl,NR,PRP,PPY,LAV,MV,SPIV,SUV,x,XII,y,RM,RPA,RO,LING,CENT,CUL,DEC,FOTU,PYR,UVU,NOD,SIM,AN,PRM,COPY,PFL,FL,FN,IP,DN,VeCB
Rbp4-Cre_KL100-501430,5,PN,Rbp,L5,1037931590,ACAv,#FF00BFFF,501430,ACAd,0.26,0.27,1.6,1037931590,0,0.017150013,0.140286475,0.001900633,0.001135986,3.06e-4,3.86e-4,7.96e-4,0,0,0,0,0,1.45e-4,1.16e-4,7.54e-5,0,0,9.57e-6,0,0,0,0,0,6.73e-6,0.00638964,0,9.75e-5,0,0,0,1.1e-4,2.86e-5,1.41e-5,7.55e-4,1.92e-4,0.003393928,0.001430852,0.003490182,0,0,0,0,0,0,0,0,2.56e-4,0,0,0,0,0,0,1.17e-4,0,0,0,1.37e-5,0.001506183,0.00133739,5.06e-4,0,0,0,0,4.5e-5,1.99e-5,0,9.29123e-4,2.25e-6,4.08e-5,0,3.33e-6,0,0,0,0,0,0,0,0,0,2.5e-5,0,0,0,0,0,0,0,0,0,2.15e-5,9.7e-5,6.82e-4,1.65e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.51e-7,0,0,0,0,6.55e-5,0,0,0,0,0,3.6e-7,5.79e-10,0,4.95e-5,0,3.46e-4,2.74e-4,1.79e-4,4.7e-5,0,2.37e-5,0,0,0,0,0,0,0,0,0,0,0,6.59e-6,0,0,0,0,0,1.77e-5,4.19e-5,0,0,0,0,0,0,0,0,0,0,0,7.85e-6,1.91e-5,0,0,0,0,0,0,0,1.86e-6,4.4e-6,2.7e-5,2.44e-4,1.69e-4,5.82e-5,0,0,2.35e-5,0,0,0,0,0,0,0,0,0,0,5.7e-6,0,0,0,0,0,1.43e-5,0,2.38e-5,0,0,0,0,0,0,0,1.71e-5,0,0,1.1e-6,0,0,0,6.14e-6,0,0,0,0,0,2.65e-5,0,0,0,9.55e-5,0,0,0,0,2.54e-8,0,0,7.53e-5,0,0,0,0,0,0,0,0,0,0,4.94e-4,0,3.18e-5,2e-5,4.24e-5,9.48e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03e-5,0,0,2.47e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cux2-IRES-Cre-448392,5,PN,Cux,L2,901187872,ACAv,#FF00BFFF,448392,ACAv-1,0.26,0.25,1.25,901187872,0,0.034162263,0.097962015,0.003318259,4.08e-5,0.002695159,0.001631994,0.00299013,1.33e-4,0.0013571430000000001,0,0,0,8.16e-4,4.62e-4,5.97e-4,0,0,0,0,0,0,0,0,0,0.003372941,7.54e-5,6.01e-4,7.69e-4,2.2e-4,1.96e-4,3.55e-4,3.03e-4,3.42e-5,5.25e-4,2.79e-4,0.001408046,0.003648239,0.01041267,0,0,1.45e-5,8.19e-5,0,0,0,4.96e-5,5.31e-5,0,0,0,7.56e-5,0,0,0,0,0,0,0,4.07e-4,0.003508461,7.62e-4,0,0,0,2.93e-5,0,0,0,0.001385703,5.16e-6,1.19e-4,0,5.36e-4,1.21e-4,3.34e-5,0,0,0,0,8.51e-6,6.12e-6,0,6.16e-5,5.87e-6,0,0,0,0,0,0,0,0,0,0,6.77e-4,2.35e-5,0,0,0,0,0,0,0,0,0,0,0,2.56e-7,0,0,0,1.72e-5,0,0,0,0,4.38e-5,0,0,0,0,0,0,1.03e-5,1.17e-5,2.28e-5,0,1.74e-4,2.41e-4,7.1e-7,0,0,0,0,0,9.99e-5,6.02e-6,0,0,0,0,0,0,0,0,0,1.83e-5,1.8e-5,0,1.5e-6,0,8.81e-5,0,2.18e-5,0,0,0,0,0,0,0,0,0,9.98e-8,0,0,7.08e-5,4.96e-5,7.06e-6,0,0,0,2.52e-7,0,2.8e-5,1.32e-4,2e-4,3.59e-5,4.2e-6,2.93e-5,7.98e-7,0,0,0,9.28e-5,0,0,0,2.99e-5,0,0,0,0,4.19e-5,0,0,0,3.53e-7,0,9.15e-6,0,0,1.54e-5,1.19e-5,0,0,0,4.26e-5,0,0,0,0,0,0,2.46e-5,0,0,1.19e-5,3.05e-7,9.04e-6,2.67e-5,0,0,0,1.46e-4,0,0,5.77e-7,0,1.8e-6,0,0,4.11e-5,0,3.9e-6,0,0,2.12e-5,0,0,0,0,0,5.77e-4,4.33e-6,1.17e-5,6.17e-5,2.19e-4,7.18e-6,4.56e-5,0,0,3.71e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37e-6,0,2.27e-5,0,0,0,0,0,4.35e-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43e-5,1.74e-4,0,0
Rbp4-Cre_KL100-433049,5,PN,Rbp,L5,857426105,ACAv,#FF00BFFF,433049,ACAv-1,0.26,0.25,1.25,857426105,0,0.033195005,0.080544699,0.003914926,9.32e-4,0.002477329,0.003176751,0.00319593,9.36e-8,0.001181407,0,0,0,2.16e-4,1.85e-4,3.17e-4,0,0,0,3.88e-5,0,0,0,0,2.03e-4,0.010273327,1.29e-4,1.78e-4,2.74e-4,5.96e-5,9.88e-6,1.56e-4,1.5e-4,5.89e-4,0.001396672,6.46e-4,0.003710161,0.005192947,0.012565246,0,0,6.93e-6,0,0,0,0,3.37e-5,6.93e-5,0,0,1.03e-5,6.56e-6,0,0,1.77e-5,0,0,0,1.63e-4,5.86e-4,0.003026896,0.001239413,0,0,0,1.23e-4,6.72e-5,0,1.49e-6,0.001576588,0,2.02e-5,0,2.02e-4,3.35e-5,0,0,0,0,0,1.17e-5,0,0,0,2.42e-6,0,0,0,0,0,0,0,0,1.29e-5,2.71e-5,6.05e-4,1.31e-5,0,0,0,0,0,0,0,0,0,0,0,7.27e-6,0,0,0,0,0,0,0,0,6.6e-5,0,0,1.01e-6,0,0,0,1.22e-6,0,3.97e-5,0,1.3e-4,9.14e-5,7.04e-5,5.28e-6,0,1.51e-5,0,0,0,0,0,0,0,0,5.42e-6,0,0,1.23e-6,0,3.75e-6,4.53e-5,0,0,0,9.13e-5,0,9.64e-6,0,0,0,0,0,0,0,0,0,0,3.82e-5,1.31e-5,3.53e-5,6.31e-5,0,0,0,0,6.42e-6,1.52e-5,3.96e-5,1.02e-4,3.36e-4,4.2e-5,1.23e-5,2.98e-5,4.96e-5,0,0,5.11e-6,2.33e-5,0,0,0,0,0,0,0,0,0,0,0,0,3.62e-5,0,3.2e-5,0,0,0,0,0,0,0,0,0,0,4.46e-5,0,0,2.38e-11,4.34e-6,0,0,0,0,1.21e-5,7.85e-7,0,0,0,6.67e-5,0,0,9.58e-6,0,2.46e-5,2.4e-5,0,3.09e-5,0,1.98e-5,0,0,0,0,0,0,0,0,4.73e-4,2.91e-6,1.52e-5,3.29e-5,6.94e-5,1.84e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33e-5,0,0,0,2.97e-6,0,0,0,0,0,0,5.26e-6,0,0,7.36e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rbp4-Cre_KL100-428628,1,PN,Rbp,L5,850919348,ACAd,#FF0000FF,428628,ACAv-1,0.26,0.25,1.25,850919348,6.34e-5,0.044104795,0.035887942,0.009687216,7.87e-4,0.010941121,0.003243463,0.005675027,2.12e-4,0.001253585,2.42e-4,0,2.64e-4,4.18e-4,5.34e-4,0.001442612,4.29e-4,0.001251852,5.12e-4,3.77e-4,5.12e-4,2.88e-4,0,0,0.007384806,0.050236889,1.95e-4,7.72e-5,1.25e-4,0,1.71e-7,1.86e-4,9.28e-4,0.001586073,0.001251773,3.01e-4,0.002967285,0.005905003,0.006418041,1.43e-4,1.05e-6,4.73e-5,1.43e-4,0,0,0,0,3.56e-5,0,1.92e-6,0,0,0,0,0,0,0,0,0,1.61e-5,0.003467346,4.07e-4,0,0,0,0,0,0,0,0.001192116,0,3.51e-5,0,4.05e-4,6.55e-5,0,0,0,0,0,0,1.74e-7,0,5.72e-6,0,0,0,6.81e-6,0,0,0,0,0,0,1.75e-5,9.63e-5,9.22e-6,0,0,1.13e-5,0,0,0,0,0,0,4.18e-6,0,2.09e-5,0,0,0,6.38e-6,1.31e-5,0,0,0,5.73e-5,0,1.32e-5,8.4e-6,2.56e-5,5.69e-5,1.87e-5,3.24e-5,5.83e-6,6.62e-5,0,1.48e-4,1.59e-4,2.57e-4,3.67e-5,2.38e-6,1.33e-5,0,0,0,0,0,0,0,0,0,2.36e-6,0,0,0,0,7.54e-6,0,6.3e-6,0,3.83e-5,0,2.41e-6,0,0,0,0,0,0,0,0,0,5.55e-6,1.24e-5,0,0,0,0,0,0,0,1.51e-5,1.09e-5,0,8.53e-6,1.14e-4,1.98e-5,3.45e-6,5.39e-7,2.86e-6,0,0,1.87e-6,3.22e-6,0,0,0,0,0,0,0,0,0,0,2.54e-7,0,9.21e-5,0,4.16e-5,0,0,0,0,0,0,0,1.09e-5,0,0,4.15e-7,0,0,0,5.22e-6,0,0,0,0,1.05e-5,1.93e-5,9.38e-7,0,0,9.7e-5,0,0,0,0,7.97e-6,0,0,1.61e-5,0,3.86e-5,2.43e-9,4.53e-6,1.9e-5,0,0,0,0,0,4.19e-4,2.67e-6,1.72e-5,2.87e-5,8.53e-5,5.08e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52e-6,1.45e-5,0,0,0,0,0,0,0,7.05e-6,2.05e-5,0,0,0,6.68e-6,0,0,0,1.73e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14e-5,3.93e-5,0
Rbp4-Cre_KL100-388978,1,PN,Rbp,L5,730765491,ACAd,#FF0000FF,388978,ACAd,0.26,0.27,0.6,730765491,0,0.04584799,0.019353354,0.00244514,2.19e-5,0.009884988,9.19e-4,0.00576395,4.74e-4,0.003495028,2.11e-4,0,5.52e-5,1.98e-4,3.39e-4,3.41e-4,0,1.75e-4,1.33e-4,2.89e-5,4.49e-5,7.54e-6,0,0,0.001160487,0.033513779,1.74e-4,1.74e-4,4.61e-4,0,0,2.01e-4,9.74e-4,7.28e-4,9.94e-4,5.2e-4,6.8e-4,0.005651958,0.011815697,0,0,0,5.93e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84e-5,0.003750593,2.51e-4,0,0,0,0,0,0,0,8.01e-4,4.84e-6,5.29e-6,0,2.23e-4,8.26e-5,0,0,0,0,0,2.43e-5,0,0,0,0,9.14e-6,0,0,0,0,0,0,0,0,1.35e-5,9.1e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93e-5,0,2.65e-5,0,0,3.43e-5,5.28e-7,1.44e-5,0,1.7e-6,0,5.6e-5,5.28e-8,2.26e-5,7.95e-6,0,0,6.09e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,9.96e-6,0,0,0,3.6e-5,0,0,0,0,0,1.17e-5,0,0,0,0,0,0,3.95e-5,0,2.49e-5,0,0,0,0,0,0,7.86e-6,8.38e-5,1.02e-5,1.64e-4,0,1.71e-6,1.83e-6,5.26e-6,0,0,0,7.53e-5,0,0,0,0,0,0,0,0,0,0,0,0,8.82e-5,0,4.1e-5,0,0,0,0,0,0,0,0,0,2.47e-8,3.4e-6,0,1.76e-21,0,3.59e-5,0,0,0,0,1.69e-5,0,2.02e-5,2.68e-5,0,1.05e-4,0,0,0,0,7.42e-9,0,1.66e-6,2.43e-5,0,3.48e-5,0,0,3.03e-5,0,0,0,0,0,6.02e-4,2.92e-7,2.72e-5,5.17e-5,5.28e-5,5.62e-5,0,0,0,0,0,1.78e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.64e-8,0,0,0,0,2.83e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tlx3-Cre_PL56-564648,1,PN,Tlx,L5,1090967862,ACAd,#FF0000FF,564648,ACAd,0.74,0.25,0.6,1090967862,0,0.056769256,0.014646071,0.002019144,4.24e-5,0.010761322,0.00197819,0.008643095,4.52e-5,0.001614755,0,0,0,4.24e-5,7e-5,1.32e-4,0,1.49e-5,9.74e-5,5.39e-5,0,0,0,0,7.82e-4,0.04756315,2.05e-4,8.43e-5,6.08e-5,0,0,1.69e-4,4.11e-4,5.96e-4,4.39e-4,1.87e-4,1.38e-4,0.003738346,0.011471894,0,0,0,2.71e-5,0,0,8.1e-4,9.97e-6,0,0,0,0,0,0,0,0,2.61e-5,0,0,0,1.08e-4,0.002241482,9.93e-5,0,0,0,0,0,0,0,0.001252644,0,0,0,5.16e-5,4.22e-5,0,0,0,0,0,0,2.98e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.02e-8,0,0,0,0,0,0,0,0,1.11e-5,8.48e-6,0,0,0,2.83e-6,0,9.52e-20,0,0,3.53e-6,1.14e-5,0,0,0,0,9.25e-6,0,5.48e-6,1.01e-6,0,2.51e-5,0,0,0,0,0,0,0,4.08e-6,3.2e-7,0,0,0,0,0,5.71e-8,0,0,0,5.43e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.41e-6,0,0,0,0,1.27e-5,1.52e-6,4.7e-5,6.69e-5,0,0,0,1.64e-6,0,3.51e-5,0,1.15e-5,0,0,1.1e-4,0,0,0,0,0,0,0,0,0,1.5e-5,1.01e-6,5.6e-5,0,0,0,0,0,1.16e-6,0,0,0,0,0,0,0,0,2.79e-5,0,0,0,0,0,0,0,0,0,8.71e-5,0,0,0,0,1.62e-5,0,0,1.17e-5,0,1.86e-5,0,0,3.76e-6,1.71e-5,1.08e-6,0,0,0,7.01e-4,0,0,4.44e-5,6.01e-5,4.54e-5,0,0,0,0,0,0,0,0,0,2.05e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53e-5,0,5.91e-6,0,0,0,0,2.57e-5,0,0,0,0,0,0,0,4.97e-4,0,1.64e-4,6.84e-5,4.43e-5,1.11e-4,8.54e-5,4.58e-4,1.29e-4,0,3.45e-4,0,0,0,1.32e-4,0,0
Syt6-Cre_KI148-375936,1,PN,Syt6,L6,683076281,ACAd,#FF0000FF,375936,ACAd,0.26,0.27,0.6,683076281,6.35e-5,0.054769531,0.029055201,0.010989449,3.2e-4,0.007011999,0.003065398,0.007064443,2.02e-4,0.001735377,2.4e-4,0,2.77e-4,4.4e-4,5.44e-4,8.2e-4,0,4.91e-4,4.16e-4,1.4e-4,1.64e-4,7.5e-5,0,0,0.001468294,0.031240639,1.83e-4,1.11e-4,2.11e-4,1.33e-5,4.09e-5,2.26e-4,0.00100034,0.00220888,0.001600814,2.63e-4,0.002801828,0.007323424,0.008559629,9.41e-5,2.13e-4,3.86e-5,1.65e-5,0,0,0,0,0,2.04e-4,0,0,0,0,0,0,0,0,0,0,0,0.003748081,8.41e-4,0,0,0,0,0,0,0,0.001256855,2.73e-6,8.59e-5,0,3.39e-4,8.88e-5,0,0,0,0,0,0,0,0,0,0,0,0,9.99e-6,0,0,0,0,0,4.44e-6,2.64e-5,2.31e-4,0,0,0,9.53e-6,0,0,0,0,0,0,8.01e-6,0,1.82e-5,0,0,0,0,0,0,0,0,5.35e-5,0,8.62e-5,0,0,6.02e-5,7.39e-7,1.81e-6,2.22e-6,1.88e-5,4e-6,1.72e-4,2.17e-4,3.26e-4,6.43e-5,2.73e-23,1.08e-5,9.24e-6,0,0,0,0,0,0,0,0,0,0,0,0,1.47e-5,0,0,0,1.83e-5,1.64e-5,0,0,0,0,0,0,0,0,0,0,0,0,1.06e-5,0,0,1.23e-6,0,0,0,0,2.06e-5,5.17e-6,5.89e-5,7.94e-5,1.49e-4,0,0,0,2.28e-5,0,0,0,2.93e-5,0,0,0,0,0,0,0,0,0,0,0,0,1.03e-4,0,4.48e-5,0,0,0,0,0,0,0,2.04e-5,0,0,0,0,0,0,1.41e-6,0,0,0,0,2.03e-5,0,2.51e-5,0,0,6.8e-5,0,0,2.72e-5,0,0,0,0,2.56e-5,0,1.93e-5,0,2.22e-6,0,0,0,0,0,0,8.99e-4,4.43e-6,7.91e-7,2.53e-5,1.27e-4,1.08e-4,0,1.64e-5,0,0,0,1.36e-5,0,0,0,0,0,6.67e-6,0,0,0,0,0,0,0,2.16e-5,0,0,0,0,0,5.19e-6,0,0,0,0,0,0,8.82e-7,0,1.21e-6,0,0,0,0,2.75e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pvalb-IRES-Cre;Ai75-385368,1,IN,Pvalb,pan,722879836,ACAd,#FF0000FF,385368,ACAd,0.26,0.27,0.6,722879836,0,0.046567798,0.023795938,0.003281858,1.34e-4,0.01017911,8.42e-4,0.005747483,2.61e-4,0.001064418,2.13e-4,0,1.74e-4,1.91e-4,3.94e-4,9.2e-4,4.14e-4,0.001735882,6.33e-4,4.14e-4,3.69e-4,3.16e-4,2.38e-4,4.24e-4,0.002421497,0.035192135,1.08e-4,1.64e-4,3.18e-4,6.54e-5,2.74e-5,3.74e-4,0.001287739,0.002012578,0.001395307,1.95e-4,0.001866648,0.007532505,0.010513666,1.62e-4,2.7e-5,0,1.34e-4,0.00232905,0,0,0,0,3.41e-4,4.54e-6,0,0,0,0,5.5e-5,2.48e-5,5.54e-5,0,0,2.91e-5,0.002480533,3.75e-4,0,6.5e-6,0,1.71e-5,0,0,0,0.001645471,0,0,0,1.25e-4,1.16e-4,0,2.09e-4,1.82e-4,0,2.24e-5,3.56e-6,0,0,1.79e-6,0,3.71e-6,0,0,0,0,0,0,3.97e-6,2.07e-5,2.7e-6,3.58e-4,1.8e-6,0,0,0,0,0,0,0,0,0,0,0,1.42e-6,0,2.21e-5,0,3.55e-5,7.45e-7,0,0,7.09e-6,3.91e-5,0,6.08e-6,9.71e-6,4.89e-5,6.01e-5,4.62e-5,7.09e-6,0,4.56e-5,4.48e-9,8.05e-5,7.4e-5,1.1e-4,2e-4,0,2.35e-5,0,0,0,1.82e-6,0,0,0,1.57e-5,1.93e-7,0,0,0,0,9.59e-6,0,5.32e-7,0,5.1e-6,3.82e-5,0,6.91e-6,0,0,0,0,0,0,0,7.71e-6,0,0,1.76e-5,0,6.74e-6,0,0,0,0,0,1.13e-5,5.69e-6,5.87e-5,2.61e-5,3.64e-5,6.88e-6,0,0,1.54e-5,0,4e-5,0,8.44e-6,0,0,5.07e-4,0,2.71e-5,0,0,1.53e-6,0,0,0,1.29e-6,2.79e-5,8.74e-4,6.59e-5,0,4.96e-7,0,1.52e-6,6.79e-7,0,0,0,0,0,0,0,0,2.2e-5,4.15e-9,0,0,0,0,7.42e-5,0,3.6e-5,0,0,2.04e-5,0,0,1.89e-5,4.83e-6,0,0,0,5.39e-7,2.74e-5,4.58e-6,0,1.03e-6,2.79e-5,9.36e-6,7.31e-6,0,8.59e-7,0,8.54e-4,0,2.71e-5,2.8e-5,1.22e-4,3.99e-5,2.2e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88e-6,0,0,0,1.78e-5,0,0,0,0,5.5e-7,2.73e-7,0,0,2.26e-6,9.48e-6,0,0,0,0,3.72e-5,0,0,7.26e-6,0,6.26e-5,1.93e-6,3.41e-6,0,1.68e-8,0,0,0,0,0,1.12e-4,1.59e-5,6.46e-5,0,0,2e-4,5.68e-4,0,1.66e-4,0,0,4.27e-5,1.45e-4,2.16e-4,0
Syt6-Cre_KI148-375941,1,PN,Syt6,L6,692168095,ACAd,#FF0000FF,375941,ACAd,0.26,0.27,0.6,692168095,0,0.043668423,0.027000575,0.005254243,2.72e-4,0.005783894,0.001851571,0.005173892,7.37e-5,8.98e-4,3.5e-4,0,1.46e-4,5.55e-4,6.45e-4,0.001357256,0,4.07e-4,5.83e-4,2.85e-4,2.53e-4,8.02e-5,0,0,0.002793735,0.03160071,2.54e-4,1.81e-4,4.82e-4,9.48e-5,5.07e-5,2.66e-4,0.001647183,0.002713143,0.002314764,2.82e-4,0.002910398,0.008050788,0.010649672,1.74e-5,0,1.6e-5,7.33e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4e-5,3.93e-6,5.42e-5,0.003920909,7.42e-4,0,0,0,1.5e-5,0,0,0,9.83e-4,3.23e-6,4.06e-5,0,2.29e-4,2.14e-5,0,0,0,0,0,1.74e-6,0,0,9.01e-6,0,2.11e-6,0,4.9e-6,0,0,0,0,0,8.8e-6,3.63e-6,1.55e-4,2.74e-6,0,0,0,0,0,0,0,0,1.98e-6,0,0,1.11e-5,0,7.2e-6,0,3.86e-5,1.62e-7,0,0,0,3.67e-5,3.19e-8,1.59e-5,5.37e-7,3.02e-5,4.47e-5,3.02e-5,1.71e-9,0,7.49e-5,4.26e-7,9.75e-5,1.04e-4,2.92e-4,7.46e-5,5.99e-6,1.77e-5,0,0,6.3e-6,0,0,0,0,4.88e-6,0,1.47e-5,0,0,0,0,3.18e-6,0,0,0,2.81e-5,0,2.25e-6,0,0,0,0,0,0,7.62e-8,9.72e-7,0,0,4.16e-7,7.28e-6,5.12e-5,0,5.11e-6,0,0,9e-7,2.45e-5,5.35e-5,1.46e-5,1.5e-4,1.67e-4,0,6.87e-6,1.56e-5,0,0,0,0,9.65e-6,0,0,0,0,0,0,0,3.77e-7,0,0,0,0,6.57e-5,0,2.48e-5,0,1.51e-7,0,0,0,0,5.77e-5,0,0,0,0,0,0,0,2.51e-9,0,0,0,0,5.57e-5,0,5.39e-5,2.07e-6,9.58e-7,6.97e-5,0,0,3.77e-5,0,2.49e-6,0,0,3.25e-5,0,3.1e-5,0,0,5.43e-5,0,0,0,0,0,8.14e-4,8.27e-7,9.1e-6,6.61e-5,1.52e-4,2.63e-5,0,0,0,0,1.61e-6,4.22e-6,1.79e-6,0,0,0,0,0,1.76e-5,2.41e-6,3.72e-6,1.21e-6,0,0,0,0,0,0,1.5e-6,0,0,2.78e-5,5.52e-6,0,2.25e-6,0,0,1.51e-5,5.16e-5,0,3.04e-5,0,0,0,0,3.91e-5,0,0,7.14e-10,0,0,0,1.26e-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ctgf-T2A-dgCre-388637,1,PN,Ctgf,L6,736864334,ACAd,#FF0000FF,388637,ACAd,0.26,0.27,0.6,736864334,0,0.054691757,0.027250325,4.59e-4,0,0.004540311,0,0.001169046,0,0,0,0,0,0,0,0,0,0,3.47e-5,0,0,0,0,0,0,0.030150156,5.62e-5,3.01e-5,3.13e-4,0,0,0,8.69e-4,4.09e-4,5.07e-4,1.2e-4,3.15e-4,0.00368291,0.006557397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85e-5,0,0,0,0,0,0,0,0,1.52e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71e-8,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04e-4,0,0,0,5.52e-5,0,1.42e-8,2.24e-5,4.63e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75e-5,0,0,0,0,2.3e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.95e-5,0,5.74e-6,0,0,0,0,0,0,0,0,2.94e-4,0,0,6.07e-5,5.77e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.43e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
